        ID    Symbol    Name       Date    Open    High     Low   Close  Change1    Volume       Amount  TurnoverRate       PE  issuedCapital    CAPITAL     EPS
2532  2533  SZ131910  ＲＣ-001 2012-04-25   3.600   6.001   2.515   2.850   42.500   5188404   5188404000          0.00     0.00          0.000       0.00  0.0000
421    422  SH204001   GC001 2012-04-25   4.195   5.000   3.110   3.250   41.304  89920800  89920800000          0.00     0.00          0.000       0.00  0.0000
3053  3054  SZ300313    N天山生 2012-04-25  16.000  16.580  14.630  15.400   18.462    115889    179460600         63.64  3500.00       1821.000    9091.00  0.0044
3051  3052  SZ300310    N宜通世 2012-04-25  19.020  19.800  19.000  19.800   16.471    115416    223881000         65.58    18.16       1760.000    8800.00  1.0904
426    427  SH204014   GC014 2012-04-25   3.380   3.800   3.200   3.535   10.469   1124100   1124100000          0.00     0.00          0.000       0.00  0.0000
665    666  SH600247    成城股份 2012-04-25   5.230   5.230   5.230   5.230   10.105    109584     57312460          3.26   250.24      33644.160   33644.16  0.0209
950    951  SH600620    天宸股份 2012-04-25   4.690   4.690   4.690   4.690   10.094     70211     32929020          1.53     0.00      45778.470   45778.47 -0.1020
994    995  SH600675    中华企业 2012-04-25   5.570   6.110   5.530   6.110   10.090    783620    466305300          5.54    18.40     141443.900  141443.90  0.3320
1493  1494  SZ000514     渝开发 2012-04-25   5.810   6.440   5.770   6.440   10.085    395112    251102400          5.67    28.04      69733.140   69733.14  0.2297
953    954  SH600624    复旦复华 2012-04-25   6.320   7.100   6.260   7.100   10.078    329334    227645200          9.54   106.29      34515.500   34515.50  0.0668
1684  1685  SZ000798    中水渔业 2012-04-25   7.040   7.760   7.010   7.760   10.071    183057    139873400          5.73    40.84      31945.170   31945.50  0.1900
1832  1833  SZ002016    世荣兆业 2012-04-25   7.260   7.980   7.100   7.980   10.069     69299     53537410          1.50   199.50      46149.010   46149.69  0.0400
1001  1002  SH600683    京投银泰 2012-04-25   6.300   6.780   6.000   6.780   10.065    845009    541456100         11.41     0.00      74077.760   74077.76 -0.3200
605    606  SH600178    东安动力 2012-04-25   8.650   8.750   8.280   8.750   10.063    618777    533850100         13.39   190.22      46208.000   46208.00  0.0460
783    784  SH600393    东华实业 2012-04-25   5.540   6.020   5.530   6.020   10.055     87193     51806360          3.01    40.68      28950.500   30000.00  0.1480
880    881  SH600533    栖霞建设 2012-04-25   3.870   4.160   3.870   4.160   10.053    394753    161604600          3.76    19.05     105000.000  105000.00  0.2184
495    496  SH600051    宁波联合 2012-04-25   9.310  10.290   9.200  10.290   10.053    194487    195302900          6.43    48.54      30240.000   30240.00  0.2120
1017  1018  SH600701    工大高新 2012-04-25   4.150   4.600   4.150   4.600   10.048    299389    135300800          6.00    70.44      49878.200   49878.20  0.0653
1094  1095  SH600790     轻纺城 2012-04-25   7.360   8.330   7.310   8.330   10.040    929141    749651100         17.90    41.65      51905.490   61877.62  0.2000
2197  2198  SZ002403     爱仕达 2012-04-25  11.340  11.510  11.110  11.510   10.038    121037    137883000         12.52    41.11       9667.500   24000.00  0.2800
1648  1649  SZ000735     罗牛山 2012-04-25   5.590   6.030   5.480   6.030   10.037   1098729    647828400         12.49   222.51      87997.770   88013.20  0.0271
1649  1650  SZ000736    重庆实业 2012-04-25   8.100   8.990   7.960   8.990   10.037    135031    120170800         10.53     7.75      12822.630   29719.39  1.1600
702    703  SH600293    三峡新材 2012-04-25   8.650   9.650   8.500   9.650   10.034    777859    723958100         22.58   174.50      34450.260   34450.26  0.0553
748    749  SH600352    浙江龙盛 2012-04-25   6.060   6.690   6.010   6.690   10.033    553942    363030600          3.77    10.70     146841.600  146841.60  0.6254
2386  2387  SZ002596    海南瑞泽 2012-04-25  13.270  13.270  13.020  13.270   10.033     56405     74742010         16.59    55.29       3400.000   13400.00  0.2400
1477  1478  SZ000426    兴业矿业 2012-04-25  13.150  14.380  13.150  14.380   10.023    153188    214812100          5.75   119.83      26652.440   39812.99  0.1200
496    497  SH600052    浙江广厦 2012-04-25   5.550   5.930   5.460   5.930   10.019    591168    340429200          6.78    17.97      87178.910   87178.91  0.3300
875    876  SH600528    中铁二局 2012-04-25   5.270   5.820   5.220   5.820   10.019    298721    168884800          2.05    16.23     145920.000  145920.00  0.3586
1000  1001  SH600682    南京新百 2012-04-25   9.200   9.780   9.200   9.780   10.011    102113     99618780          2.86     7.19      35727.620   35832.17  1.3600
970    971  SH600647    同达创业 2012-04-25  11.000  12.310  10.800  12.310   10.009    108833    130570300         10.17    62.90      10703.350   10703.35  0.1957
1223  1224  SH601002    晋亿实业 2012-04-25  13.490  14.840  13.180  14.840   10.007    697156    986685700          9.44   159.57      73847.000   73847.00  0.0930
2883  2884  SZ300138    晨光生物 2012-04-25  11.700  12.650  11.660  12.650   10.000     41602     52452550          9.04    30.28       4600.000   17957.09  0.4178
1011  1012  SH600694    大商股份 2012-04-25  35.200  35.200  35.200  35.200   10.000      7574     26661360          0.26     6.33      29371.870   29371.87  5.5600
1422  1423  SZ000040    宝安地产 2012-04-25   4.570   5.060   4.500   5.060   10.000    429794    212359300          9.26    16.87      46413.360   46959.34  0.3000
611    612  SH600185    格力地产 2012-04-25   6.160   6.710   6.120   6.710   10.000    186612    122603800          5.53    13.98      33759.440   57759.44  0.4800
690    691  SH600278    东方创业 2012-04-25   9.050  10.010   8.930  10.010   10.000    146056    143995600          4.56    35.75      32000.000   40172.44  0.2800
558    559  SH600120    浙江东方 2012-04-25  12.430  12.430  12.430  12.430   10.000    144002    178994400          2.85    62.15      50547.340   50547.34  0.2000
512    513  SH600070    浙江富润 2012-04-25  11.700  12.540  11.650  12.540   10.000    342106    416694700         24.32   156.75      14067.580   14067.58  0.0800
2018  2019  SZ002214    大立科技 2012-04-25  21.280  23.540  21.100  23.540   10.000     25730     59157090          3.62     0.00       7097.971   10000.00 -0.1600
1921  1922  SZ002112    三变科技 2012-04-25   9.020   9.020   9.020   9.020   10.000     25945     23402710          2.55     0.00      10173.280   11200.00 -0.4000
2203  2204  SZ002409    雅克科技 2012-04-25  22.500  24.980  22.500  24.980    9.996      7564     18628120          2.30    30.92       3288.000   11088.00  0.8080
1939  1940  SZ002131    利欧股份 2012-04-25  12.260  13.430  12.080  13.430    9.992    147797    193441800          8.08    41.97      18299.420   31964.44  0.3200
535    536  SH600095     哈高科 2012-04-25   9.030   9.030   8.630   9.030    9.988    309306    277492000          8.56   131.06      36126.360   36126.36  0.0689
2388  2389  SZ002598    山东章鼓 2012-04-25  15.800  17.180  15.700  17.180    9.987     64062    107007400         16.02    39.40       4000.000   15600.00  0.4360
